Date.Time,Hobo,site,timepoint
2020-03-04 16:00:00,29.438888888888886,site1,timepoint2
2020-03-04 16:10:00,29.34,site1,timepoint2
2020-03-04 16:20:00,29.314999999999998,site1,timepoint2
2020-03-04 16:30:00,29.265000000000004,site1,timepoint2
2020-03-04 16:40:00,29.240000000000006,site1,timepoint2
2020-03-04 16:50:00,29.265000000000004,site1,timepoint2
2020-03-04 17:00:00,29.34,site1,timepoint2
2020-03-04 17:10:00,29.29,site1,timepoint2
2020-03-04 17:20:00,29.265000000000004,site1,timepoint2
2020-03-04 17:30:00,29.240000000000006,site1,timepoint2
2020-03-04 17:40:00,29.165000000000003,site1,timepoint2
2020-03-04 17:50:00,29.115,site1,timepoint2
2020-03-04 18:00:00,29.09,site1,timepoint2
2020-03-04 18:10:00,29.09,site1,timepoint2
2020-03-04 18:20:00,29.064999999999998,site1,timepoint2
2020-03-04 18:30:00,29.064999999999998,site1,timepoint2
2020-03-04 18:40:00,29.09,site1,timepoint2
2020-03-04 18:50:00,29.14,site1,timepoint2
2020-03-04 19:00:00,29.165000000000003,site1,timepoint2
2020-03-04 19:10:00,29.14,site1,timepoint2
2020-03-04 19:20:00,29.14,site1,timepoint2
2020-03-04 19:30:00,29.14,site1,timepoint2
2020-03-04 19:40:00,29.165000000000003,site1,timepoint2
2020-03-04 19:50:00,29.165000000000003,site1,timepoint2
2020-03-04 20:00:00,29.165000000000003,site1,timepoint2
2020-03-04 20:10:00,29.14,site1,timepoint2
2020-03-04 20:20:00,29.165000000000003,site1,timepoint2
2020-03-04 20:30:00,29.240000000000006,site1,timepoint2
2020-03-04 20:40:00,29.265000000000004,site1,timepoint2
2020-03-04 20:50:00,29.240000000000006,site1,timepoint2
2020-03-04 21:00:00,29.215000000000003,site1,timepoint2
2020-03-04 21:10:00,29.165000000000003,site1,timepoint2
2020-03-04 21:20:00,29.115,site1,timepoint2
2020-03-04 21:30:00,29.064999999999998,site1,timepoint2
2020-03-04 21:40:00,29.040000000000003,site1,timepoint2
2020-03-04 21:50:00,29.040000000000003,site1,timepoint2
2020-03-04 22:00:00,29.040000000000003,site1,timepoint2
2020-03-04 22:10:00,29.064999999999998,site1,timepoint2
2020-03-04 22:20:00,29.040000000000003,site1,timepoint2
2020-03-04 22:30:00,29.015000000000004,site1,timepoint2
2020-03-04 22:40:00,29.015000000000004,site1,timepoint2
2020-03-04 22:50:00,28.990000000000002,site1,timepoint2
2020-03-04 23:00:00,28.990000000000002,site1,timepoint2
2020-03-04 23:10:00,28.965,site1,timepoint2
2020-03-04 23:20:00,28.965,site1,timepoint2
2020-03-04 23:30:00,28.965,site1,timepoint2
2020-03-04 23:40:00,28.965,site1,timepoint2
2020-03-04 23:50:00,28.965,site1,timepoint2
2020-03-05 00:00:00,28.990000000000002,site1,timepoint2
2020-03-05 00:10:00,28.990000000000002,site1,timepoint2
2020-03-05 00:20:00,28.990000000000002,site1,timepoint2
2020-03-05 00:30:00,28.965,site1,timepoint2
2020-03-05 00:40:00,28.965,site1,timepoint2
2020-03-05 00:50:00,28.990000000000002,site1,timepoint2
2020-03-05 01:00:00,29.040000000000003,site1,timepoint2
2020-03-05 01:10:00,29.015000000000004,site1,timepoint2
2020-03-05 01:20:00,29.015000000000004,site1,timepoint2
2020-03-05 01:30:00,29.015000000000004,site1,timepoint2
2020-03-05 01:40:00,29.015000000000004,site1,timepoint2
2020-03-05 01:50:00,29.015000000000004,site1,timepoint2
2020-03-05 02:00:00,29.015000000000004,site1,timepoint2
2020-03-05 02:10:00,29.015000000000004,site1,timepoint2
2020-03-05 02:20:00,29.015000000000004,site1,timepoint2
2020-03-05 02:30:00,28.990000000000002,site1,timepoint2
2020-03-05 02:40:00,28.990000000000002,site1,timepoint2
2020-03-05 02:50:00,28.990000000000002,site1,timepoint2
2020-03-05 03:00:00,28.990000000000002,site1,timepoint2
2020-03-05 03:10:00,28.990000000000002,site1,timepoint2
2020-03-05 03:20:00,28.965,site1,timepoint2
2020-03-05 03:30:00,28.965,site1,timepoint2
2020-03-05 03:40:00,28.965,site1,timepoint2
2020-03-05 03:50:00,28.965,site1,timepoint2
2020-03-05 04:00:00,28.965,site1,timepoint2
2020-03-05 04:10:00,28.965,site1,timepoint2
2020-03-05 04:20:00,28.94111111111111,site1,timepoint2
2020-03-05 04:30:00,28.94111111111111,site1,timepoint2
2020-03-05 04:40:00,28.94111111111111,site1,timepoint2
2020-03-05 04:50:00,28.94111111111111,site1,timepoint2
2020-03-05 05:00:00,28.94111111111111,site1,timepoint2
2020-03-05 05:10:00,28.916111111111118,site1,timepoint2
2020-03-05 05:20:00,28.916111111111118,site1,timepoint2
2020-03-05 05:30:00,28.916111111111118,site1,timepoint2
2020-03-05 05:40:00,28.916111111111118,site1,timepoint2
2020-03-05 05:50:00,28.916111111111118,site1,timepoint2
2020-03-05 06:00:00,28.891111111111115,site1,timepoint2
2020-03-05 06:10:00,28.891111111111115,site1,timepoint2
2020-03-05 06:20:00,28.891111111111115,site1,timepoint2
2020-03-05 06:30:00,28.916111111111118,site1,timepoint2
2020-03-05 06:40:00,28.94111111111111,site1,timepoint2
2020-03-05 06:50:00,28.965,site1,timepoint2
2020-03-05 07:00:00,28.990000000000002,site1,timepoint2
2020-03-05 07:10:00,29.015000000000004,site1,timepoint2
2020-03-05 07:20:00,29.040000000000003,site1,timepoint2
2020-03-05 07:30:00,29.064999999999998,site1,timepoint2
2020-03-05 07:40:00,29.064999999999998,site1,timepoint2
2020-03-05 07:50:00,29.09,site1,timepoint2
2020-03-05 08:00:00,29.115,site1,timepoint2
2020-03-05 08:10:00,29.14,site1,timepoint2
2020-03-05 08:20:00,29.14,site1,timepoint2
2020-03-05 08:30:00,29.165000000000003,site1,timepoint2
2020-03-05 08:40:00,29.215000000000003,site1,timepoint2
2020-03-05 08:50:00,29.240000000000006,site1,timepoint2
2020-03-05 09:00:00,29.265000000000004,site1,timepoint2
2020-03-05 09:10:00,29.29,site1,timepoint2
2020-03-05 09:20:00,29.314999999999998,site1,timepoint2
2020-03-05 09:30:00,29.314999999999998,site1,timepoint2
2020-03-05 09:40:00,29.365000000000002,site1,timepoint2
2020-03-05 09:50:00,29.413888888888888,site1,timepoint2
2020-03-05 10:00:00,29.438888888888886,site1,timepoint2
2020-03-05 10:10:00,29.49,site1,timepoint2
2020-03-05 10:20:00,29.514999999999997,site1,timepoint2
2020-03-05 10:30:00,29.54,site1,timepoint2
2020-03-05 10:40:00,29.565,site1,timepoint2
2020-03-05 10:50:00,29.59,site1,timepoint2
2020-03-05 11:00:00,29.59,site1,timepoint2
2020-03-05 11:10:00,29.640000000000004,site1,timepoint2
2020-03-05 11:20:00,29.665000000000003,site1,timepoint2
2020-03-05 11:30:00,29.689999999999998,site1,timepoint2
2020-03-05 11:40:00,29.689999999999998,site1,timepoint2
2020-03-05 11:50:00,29.74,site1,timepoint2
2020-03-05 12:00:00,29.715,site1,timepoint2
2020-03-05 12:10:00,29.715,site1,timepoint2
2020-03-05 12:20:00,29.765,site1,timepoint2
2020-03-05 12:30:00,29.640000000000004,site1,timepoint2
2020-03-05 12:40:00,29.14,site1,timepoint2
2020-03-05 12:50:00,30.95,site1,timepoint2
2020-03-05 13:00:00,31.842222222222226,site1,timepoint2
2020-03-05 13:10:00,31.535000000000004,site1,timepoint2
2020-03-05 13:20:00,31.281111111111112,site1,timepoint2
2020-03-05 13:30:00,30.82388888888889,site1,timepoint2
2020-03-05 13:40:00,29.314999999999998,site1,timepoint2
2020-03-05 13:50:00,28.61722222222222,site1,timepoint2
2020-03-05 14:00:00,28.345000000000002,site1,timepoint2
2020-03-05 14:10:00,28.916111111111118,site1,timepoint2
2020-03-05 14:20:00,28.742222222222225,site1,timepoint2
2020-03-05 14:30:00,28.816111111111113,site1,timepoint2
2020-03-05 14:40:00,28.891111111111115,site1,timepoint2
2020-03-05 14:50:00,28.59277777777778,site1,timepoint2
2020-03-05 15:00:00,28.766111111111112,site1,timepoint2
2020-03-05 15:10:00,27.825,site1,timepoint2
2020-03-05 15:20:00,27.087222222222227,site1,timepoint2
2020-03-05 15:30:00,26.42611111111111,site1,timepoint2
2020-03-05 15:40:00,25.74388888888889,site1,timepoint2
2020-03-05 15:50:00,25.137222222222224,site1,timepoint2
2020-03-05 16:00:00,21.842777777777776,site1,timepoint2
2020-03-05 16:10:00,22.847777777777782,site1,timepoint2
2020-03-05 16:20:00,22.53722222222222,site1,timepoint2
2020-03-05 16:30:00,22.561111111111114,site1,timepoint2
2020-03-05 16:40:00,22.681111111111107,site1,timepoint2
2020-03-05 16:50:00,22.345000000000002,site1,timepoint2
2020-03-05 17:00:00,22.10611111111111,site1,timepoint2
2020-03-05 17:10:00,22.27388888888889,site1,timepoint2
2020-03-05 17:20:00,22.53722222222222,site1,timepoint2
2020-03-05 17:30:00,22.728888888888893,site1,timepoint2
2020-03-05 17:40:00,22.96777777777778,site1,timepoint2
2020-03-05 17:50:00,23.20777777777778,site1,timepoint2
2020-03-05 18:00:00,23.256111111111114,site1,timepoint2
2020-03-05 18:10:00,22.96777777777778,site1,timepoint2
2020-03-05 18:20:00,22.752777777777776,site1,timepoint2
2020-03-05 18:30:00,22.943888888888893,site1,timepoint2
2020-03-05 18:40:00,23.112222222222226,site1,timepoint2
2020-03-05 18:50:00,23.303888888888892,site1,timepoint2
2020-03-05 18:55:14,NA,site1,timepoint2
2020-03-05 18:55:22,NA,site1,timepoint2
2020-01-10 18:34:23,26.036111111111108,site2,timepoint2
2020-01-10 18:44:23,24.17111111111111,site2,timepoint2
2020-01-10 18:54:23,23.327777777777776,site2,timepoint2
2020-01-10 19:04:23,22.943888888888893,site2,timepoint2
2020-01-10 19:14:23,22.776111111111113,site2,timepoint2
2020-01-10 19:24:23,22.681111111111107,site2,timepoint2
2020-01-10 19:34:23,22.608888888888888,site2,timepoint2
2020-01-10 19:44:23,22.561111111111114,site2,timepoint2
2020-01-10 19:54:23,22.48888888888889,site2,timepoint2
2020-01-10 20:04:23,22.441111111111116,site2,timepoint2
2020-01-10 20:14:23,22.39277777777778,site2,timepoint2
2020-01-10 20:24:23,22.345000000000002,site2,timepoint2
2020-01-10 20:34:23,22.297777777777778,site2,timepoint2
2020-01-10 20:44:23,22.25,site2,timepoint2
2020-01-10 20:54:23,22.226111111111116,site2,timepoint2
2020-01-10 21:04:23,22.17777777777778,site2,timepoint2
2020-01-10 21:14:23,22.153888888888886,site2,timepoint2
2020-01-10 21:24:23,22.130000000000003,site2,timepoint2
2020-01-10 21:34:23,22.10611111111111,site2,timepoint2
2020-01-10 21:44:23,22.082222222222224,site2,timepoint2
2020-01-10 21:54:23,22.10611111111111,site2,timepoint2
2020-01-10 22:04:23,22.082222222222224,site2,timepoint2
2020-01-10 22:14:23,22.10611111111111,site2,timepoint2
2020-01-10 22:24:23,22.10611111111111,site2,timepoint2
2020-01-10 22:34:23,22.082222222222224,site2,timepoint2
2020-01-10 22:44:23,22.057777777777776,site2,timepoint2
2020-01-10 22:54:23,21.987222222222222,site2,timepoint2
2020-01-10 23:04:23,21.96277777777778,site2,timepoint2
2020-01-10 23:14:23,21.938888888888886,site2,timepoint2
2020-01-10 23:24:23,21.915000000000003,site2,timepoint2
2020-01-10 23:34:23,21.867222222222225,site2,timepoint2
2020-01-10 23:44:23,21.867222222222225,site2,timepoint2
2020-01-10 23:54:23,21.842777777777776,site2,timepoint2
2020-01-11 00:04:23,21.794999999999998,site2,timepoint2
2020-01-11 00:14:23,21.794999999999998,site2,timepoint2
2020-01-11 00:24:23,21.772222222222222,site2,timepoint2
2020-01-11 00:34:23,21.747777777777777,site2,timepoint2
2020-01-11 00:44:23,21.700000000000003,site2,timepoint2
2020-01-11 00:54:23,21.67611111111111,site2,timepoint2
2020-01-11 01:04:23,21.652222222222225,site2,timepoint2
2020-01-11 01:14:23,21.627777777777784,site2,timepoint2
2020-01-11 01:24:23,21.723888888888887,site2,timepoint2
2020-01-11 01:34:23,21.652222222222225,site2,timepoint2
2020-01-11 01:44:23,21.60388888888889,site2,timepoint2
2020-01-11 01:54:23,21.652222222222225,site2,timepoint2
2020-01-11 02:04:23,21.652222222222225,site2,timepoint2
2020-01-11 02:14:23,21.581111111111113,site2,timepoint2
2020-01-11 02:24:23,21.723888888888887,site2,timepoint2
2020-01-11 02:34:23,21.627777777777784,site2,timepoint2
2020-01-11 02:44:23,21.772222222222222,site2,timepoint2
2020-01-11 02:54:23,21.652222222222225,site2,timepoint2
2020-01-11 03:04:23,21.557222222222222,site2,timepoint2
2020-01-11 03:14:23,21.723888888888887,site2,timepoint2
2020-01-11 03:24:23,21.60388888888889,site2,timepoint2
2020-01-11 03:34:23,21.747777777777777,site2,timepoint2
2020-01-11 03:44:23,21.81888888888889,site2,timepoint2
2020-01-11 03:54:23,21.700000000000003,site2,timepoint2
2020-01-11 04:04:23,21.772222222222222,site2,timepoint2
2020-01-11 04:14:23,21.67611111111111,site2,timepoint2
2020-01-11 04:24:23,21.81888888888889,site2,timepoint2
2020-01-11 04:34:23,21.867222222222225,site2,timepoint2
2020-01-11 04:44:23,21.723888888888887,site2,timepoint2
2020-01-11 04:54:23,21.89111111111111,site2,timepoint2
2020-01-11 05:04:23,21.67611111111111,site2,timepoint2
2020-01-11 05:14:23,21.842777777777776,site2,timepoint2
2020-01-11 05:24:23,21.700000000000003,site2,timepoint2
2020-01-11 05:34:23,21.842777777777776,site2,timepoint2
2020-01-11 05:44:23,21.700000000000003,site2,timepoint2
2020-01-11 05:54:23,21.867222222222225,site2,timepoint2
2020-01-11 06:04:23,21.842777777777776,site2,timepoint2
2020-01-11 06:14:23,21.915000000000003,site2,timepoint2
2020-01-11 06:24:23,21.723888888888887,site2,timepoint2
