"Plot Title: Site1_Mahana"
"#","Date Time, GMT-10:00","Temp, °F (LGR S/N: 20444035, SEN S/N: 20444035)","Coupler Detached (LGR S/N: 20444035)","Coupler Attached (LGR S/N: 20444035)","Host Connected (LGR S/N: 20444035)","Stopped (LGR S/N: 20444035)","End Of File (LGR S/N: 20444035)"
416,01/13/20 03:40:00  PM,82.441,,,,,
417,01/13/20 03:50:00  PM,82.441,,,,,
418,01/13/20 04:00:00  PM,82.396,,,,,
419,01/13/20 04:10:00  PM,82.396,,,,,
420,01/13/20 04:20:00  PM,82.396,,,,,
421,01/13/20 04:30:00  PM,82.353,,,,,
422,01/13/20 04:40:00  PM,82.353,,,,,
423,01/13/20 04:50:00  PM,82.353,,,,,
424,01/13/20 05:00:00  PM,82.353,,,,,
425,01/13/20 05:10:00  PM,82.353,,,,,
426,01/13/20 05:20:00  PM,82.353,,,,,
427,01/13/20 05:30:00  PM,82.353,,,,,
428,01/13/20 05:40:00  PM,82.308,,,,,
429,01/13/20 05:50:00  PM,82.308,,,,,
430,01/13/20 06:00:00  PM,82.308,,,,,
431,01/13/20 06:10:00  PM,82.353,,,,,
432,01/13/20 06:20:00  PM,82.353,,,,,
433,01/13/20 06:30:00  PM,82.353,,,,,
434,01/13/20 06:40:00  PM,82.353,,,,,
435,01/13/20 06:50:00  PM,82.353,,,,,
436,01/13/20 07:00:00  PM,82.308,,,,,
437,01/13/20 07:10:00  PM,82.308,,,,,
438,01/13/20 07:20:00  PM,82.308,,,,,
439,01/13/20 07:30:00  PM,82.308,,,,,
440,01/13/20 07:40:00  PM,82.263,,,,,
441,01/13/20 07:50:00  PM,82.263,,,,,
442,01/13/20 08:00:00  PM,82.263,,,,,
443,01/13/20 08:10:00  PM,82.218,,,,,
444,01/13/20 08:20:00  PM,82.218,,,,,
445,01/13/20 08:30:00  PM,82.218,,,,,
446,01/13/20 08:40:00  PM,82.218,,,,,
447,01/13/20 08:50:00  PM,82.218,,,,,
448,01/13/20 09:00:00  PM,82.218,,,,,
449,01/13/20 09:10:00  PM,82.218,,,,,
450,01/13/20 09:20:00  PM,82.218,,,,,
451,01/13/20 09:30:00  PM,82.218,,,,,
452,01/13/20 09:40:00  PM,82.218,,,,,
453,01/13/20 09:50:00  PM,82.218,,,,,
454,01/13/20 10:00:00  PM,82.175,,,,,
455,01/13/20 10:10:00  PM,82.175,,,,,
456,01/13/20 10:20:00  PM,82.175,,,,,
457,01/13/20 10:30:00  PM,82.175,,,,,
458,01/13/20 10:40:00  PM,82.130,,,,,
459,01/13/20 10:50:00  PM,82.130,,,,,
460,01/13/20 11:00:00  PM,82.130,,,,,
461,01/13/20 11:10:00  PM,82.130,,,,,
462,01/13/20 11:20:00  PM,82.130,,,,,
463,01/13/20 11:30:00  PM,82.130,,,,,
464,01/13/20 11:40:00  PM,82.085,,,,,
465,01/13/20 11:50:00  PM,82.085,,,,,
466,01/14/20 12:00:00  AM,82.085,,,,,
467,01/14/20 12:10:00  AM,82.042,,,,,
468,01/14/20 12:20:00  AM,82.042,,,,,
469,01/14/20 12:30:00  AM,82.042,,,,,
470,01/14/20 12:40:00  AM,82.042,,,,,
471,01/14/20 12:50:00  AM,82.042,,,,,
472,01/14/20 01:00:00  AM,82.042,,,,,
473,01/14/20 01:10:00  AM,82.042,,,,,
474,01/14/20 01:20:00  AM,82.042,,,,,
475,01/14/20 01:30:00  AM,82.042,,,,,
476,01/14/20 01:40:00  AM,82.042,,,,,
477,01/14/20 01:50:00  AM,82.042,,,,,
478,01/14/20 02:00:00  AM,81.997,,,,,
479,01/14/20 02:10:00  AM,81.997,,,,,
480,01/14/20 02:20:00  AM,81.997,,,,,
481,01/14/20 02:30:00  AM,81.997,,,,,
482,01/14/20 02:40:00  AM,81.997,,,,,
483,01/14/20 02:50:00  AM,81.997,,,,,
484,01/14/20 03:00:00  AM,81.997,,,,,
485,01/14/20 03:10:00  AM,81.997,,,,,
486,01/14/20 03:20:00  AM,81.952,,,,,
487,01/14/20 03:30:00  AM,81.952,,,,,
488,01/14/20 03:40:00  AM,81.952,,,,,
489,01/14/20 03:50:00  AM,81.952,,,,,
490,01/14/20 04:00:00  AM,81.952,,,,,
491,01/14/20 04:10:00  AM,81.909,,,,,
492,01/14/20 04:20:00  AM,81.952,,,,,
493,01/14/20 04:30:00  AM,81.952,,,,,
494,01/14/20 04:40:00  AM,81.952,,,,,
495,01/14/20 04:50:00  AM,81.952,,,,,
496,01/14/20 05:00:00  AM,81.952,,,,,
497,01/14/20 05:10:00  AM,81.952,,,,,
498,01/14/20 05:20:00  AM,81.952,,,,,
499,01/14/20 05:30:00  AM,81.952,,,,,
500,01/14/20 05:40:00  AM,81.952,,,,,
501,01/14/20 05:50:00  AM,81.997,,,,,
502,01/14/20 06:00:00  AM,81.997,,,,,
503,01/14/20 06:10:00  AM,81.997,,,,,
504,01/14/20 06:20:00  AM,82.042,,,,,
505,01/14/20 06:30:00  AM,82.085,,,,,
506,01/14/20 06:40:00  AM,82.085,,,,,
507,01/14/20 06:50:00  AM,82.130,,,,,
508,01/14/20 07:00:00  AM,82.130,,,,,
509,01/14/20 07:10:00  AM,82.175,,,,,
510,01/14/20 07:20:00  AM,82.175,,,,,
511,01/14/20 07:30:00  AM,82.218,,,,,
512,01/14/20 07:40:00  AM,82.263,,,,,
513,01/14/20 07:50:00  AM,82.308,,,,,
