"","Date","Run.Number","Start.Time","Stop.Time","Chamber","Channel","Position","Species","colony_id","Plug.ID","Site","Vol.L","Temp.C","pH.mV","Salinity.chamber","TA.Start.Time","TA.Stop.Time","Notes","titration.run","TA","Mass","Salinity.lab","sample.type","surface.area.cm2","Ta.norm","Ta.norm_initial_avg","delta.TA.blank","start.time","stop.time","deltaTA","timediff","umol.cm2.hr","timepoint"
"73","20201105","8","15:13","16:43","5","5","6","Pocillopora","POC-394","POC-394","3",0.605,26.633,-56.1,37.22,"15:10","16:54","","data/4_calcification/raw_files/TA_Output_20220406_Run1_PutnamLab.csv",2314.70149507121,55.353,38.91,"Sample",89.1462372580941,2501.80653258947,2539.39322406847,4.09555611668202,2022-04-13 15:10:00,2022-04-13 16:54:00,33.4911353623261,104,0.001117878303129,"timepoint4"
"74","20201105","8","15:13","16:43","9","9","9","Porites","POR-381","POR-381","3",0.59,26.499,-53.7,37.31,"15:07","16:43","","data/4_calcification/raw_files/TA_Output_20220406_Run3_PutnamLab.csv",2190.69776708499,60.546,39.37,"Sample",20.6982117520163,2395.77141917045,2539.39322406847,4.09555611668202,2022-04-13 15:07:00,2022-04-13 16:43:00,139.526248781346,96,0.02119090522819,"timepoint4"
"75","20201105","8","15:13","16:43","3","3","3","Porites","POR-383","POR-383","3",0.615,26.522,-54.3,37.29,"15:08","17:00","","data/4_calcification/raw_files/TA_Output_20220329_Run1_PutnamLab.csv",2317.132536,59.813,38.47,"Sample",9.31398036737686,2476.11357388667,2539.39322406847,4.09555611668202,2022-04-13 15:08:00,2022-04-13 17:00:00,59.184094065125,112,0.0178472956167129,"timepoint4"
"76","20201105","8","15:13","16:43","7","7","7","Porites","POR-384","POR-384","3",0.61,26.665,-55.8,37.22,"15:08","16:54","","data/4_calcification/raw_files/TA_Output_20220406_Run2_PutnamLab.csv",2290.54092516764,56.42,39.28,"Sample",15.7995154749142,2499.23465390514,2539.39322406847,4.09555611668202,2022-04-13 15:08:00,2022-04-13 16:54:00,36.0630140466556,106,0.00671874038690175,"timepoint4"
"77","20201105","8","15:13","16:43","11","4","4","Porites","POR-385","POR-385","3",0.6,26.56,-55.3,37.21,"15:07","16:06","","data/4_calcification/raw_files/TA_Output_20220406_Run4_PutnamLab.csv",2255.1597189104,52.336,39.59,"Sample",19.1826915207017,2480.04925754619,2539.39322406847,4.09555611668202,2022-04-13 15:07:00,2022-04-13 16:06:00,55.2484104056048,59,0.0149814938728787,"timepoint4"
"79","20201105","8","15:13","16:43","8","8","8","Pocillopora","POC-346","POC-346","3",0.61,26.779,-55.1,37.3,"15:09","16:49","","data/4_calcification/raw_files/TA_Output_20220404_Run1_PutnamLab.csv",2296.83049966915,51.609,39.03,"Sample",60.828295994737,2490.14706672464,2539.39322406847,4.09555611668202,2022-04-13 15:09:00,2022-04-13 16:49:00,45.1506012271548,100,0.00231597229735148,"timepoint4"
"80","20201106","9","10:21","11:51","6","6","12","Acropora","ACR-139","ACR-139","1",0.605,26.515,-55.7,36.64,"10:11","11:50","","data/4_calcification/raw_files/TA_Output_20220405_Run3_PutnamLab.csv",2406.96171277958,51.684,41.24,"Sample",35.3096097468667,2757.30836208416,2489.88230934456,-25.7589960628347,2022-04-13 10:11:00,2022-04-13 11:50:00,-241.667056676768,99,0,"timepoint4"
"81","20201106","9","10:21","11:51","1","1","1","Acropora","ACR-145","ACR-145","1",0.6,26.395,-55.8,36.74,"10:09","12:08","","data/4_calcification/raw_files/TA_Output_20220405_Run1_PutnamLab.csv",2277.6561699392,54.957,38.2,"Sample",32.532641793605,2416.84626921326,2489.88230934456,-25.7589960628347,2022-04-13 10:09:00,2022-04-13 12:08:00,98.7950361941325,119,0.00783187451393402,"timepoint4"
"82","20201106","9","10:21","11:51","10","10","10","Acropora","ACR-150","ACR-150","1",0.605,26.461,-57.7,36.76,"10:10","11:59","","data/4_calcification/raw_files/TA_Output_20220405_Run3_PutnamLab.csv",2390.28760461036,51.01,40.86,"Sample",31.1686735854219,2712.97643123276,2489.88230934456,-25.7589960628347,2022-04-13 10:10:00,2022-04-13 11:59:00,-197.335125825364,109,0,"timepoint4"
"83","20201106","9","10:21","11:51","9","9","9","Pocillopora","POC-40","POC-40","1",0.595,26.405,-55.7,36.68,"10:12","11:50","","data/4_calcification/raw_files/TA_Output_20220405_Run1_PutnamLab.csv",2278.31715147283,53.372,38.11,"Sample",81.4304563157251,2411.85185118415,2489.88230934456,-25.7589960628347,2022-04-13 10:12:00,2022-04-13 11:50:00,103.789454223241,98,0.00395824696851481,"timepoint4"
"84","20201106","9","10:21","11:51","2","2","2","Pocillopora","POC-42","POC-42","1",0.605,26.54,-58.8,36.95,"10:17","12:04","","data/4_calcification/raw_files/TA_Output_20220406_Run2_PutnamLab.csv",2279.72265502755,52.572,39.39,"Sample",94.2990060445635,2494.39653837598,2489.88230934456,-25.7589960628347,2022-04-13 10:17:00,2022-04-13 12:04:00,21.2447670314177,107,0.000651571519644181,"timepoint4"
"85","20201106","9","10:21","11:51","3","3","3","Pocillopora","POC-43","POC-43","1",0.605,26.315,-58.4,36.71,"10:17","12:04","","data/4_calcification/raw_files/TA_Output_20220405_Run2_PutnamLab.csv",2279.50745815312,53.086,39.33,"Sample",71.7935306095424,2490.36189803228,2489.88230934456,-25.7589960628347,2022-04-13 10:17:00,2022-04-13 12:04:00,25.2794073751115,107,0.00101835409076601,"timepoint4"
"86","20201106","9","10:21","11:51","5","5","6","Porites","POR-69","POR-69","1",0.61,26.539,-53.6,36.81,"10:12","12:00","","data/4_calcification/raw_files/TA_Output_20220405_Run2_PutnamLab.csv",2214.73618206089,55.09,39.22,"Sample",21.9730317112985,2412.83202945634,2489.88230934456,-25.7589960628347,2022-04-13 10:12:00,2022-04-13 12:00:00,102.809275951059,108,0.0135174270869096,"timepoint4"
"87","20201106","9","10:21","11:51","7","7","7","Porites","POR-70","POR-70","1",0.61,26.536,-54.4,36.71,"10:10","11:55","","data/4_calcification/raw_files/TA_Output_20220405_Run1_PutnamLab.csv",2575.80823569919,46.026,45.87,"Sample",18.1842311330122,3282.00899365338,2489.88230934456,-25.7589960628347,2022-04-13 10:10:00,2022-04-13 11:55:00,-766.367688245989,105,0,"timepoint4"
"88","20201106","9","10:21","11:51","8","8","8","Porites","POR-71","POR-71","1",0.605,26.348,-55.3,36.72,"10:12","11:55","","data/4_calcification/raw_files/TA_Output_20220405_Run2_PutnamLab.csv",2294.02013089937,52.441,40.5,"Sample",17.7875214254033,2580.77264726179,2489.88230934456,-25.7589960628347,2022-04-13 10:12:00,2022-04-13 11:55:00,-65.1313418543964,103,0,"timepoint4"
"90","20201106","10","14:58","16:28","11","4","4","Acropora","ACR-173","ACR-173","1",0.62,26.121,-57.8,36.62,"14:49","16:46","","data/4_calcification/raw_files/TA_Output_20220405_Run3_PutnamLab.csv",2293.94974722152,54.57,39.2,"Sample",35.0020482881587,2497.85639141899,2474.83118216522,2.14349675135509,2022-04-13 14:49:00,2022-04-13 16:46:00,-25.168706005124,117,0,"timepoint4"
"91","20201106","10","14:58","16:28","2","2","2","Acropora","ACR-175","ACR-175","1",0.61,26.339,-57.3,36.69,"14:47","16:41","","data/4_calcification/raw_files/TA_Output_20220405_Run2_PutnamLab.csv",2299.00502208147,53.497,39.09,"Sample",32.4657806069293,2496.3362864768,2474.83118216522,2.14349675135509,2022-04-13 14:47:00,2022-04-13 16:41:00,-23.6486010629324,114,0,"timepoint4"
"92","20201106","10","14:58","16:28","9","9","9","Acropora","ACR-176","ACR-176","1",0.59,26.34,-58.7,36.94,"14:52","16:27","","data/4_calcification/raw_files/TA_Output_20220405_Run3_PutnamLab.csv",2273.41324076108,53.903,39.22,"Sample",75.4976403513731,2476.7574250736,2474.83118216522,2.14349675135509,2022-04-13 14:52:00,2022-04-13 16:27:00,-4.0697396597343,95,0,"timepoint4"
"93","20201106","10","14:58","16:28","3","3","3","Pocillopora","POC-44","POC-44","1",0.615,26.359,-57.3,36.68,"14:50","16:37","","data/4_calcification/raw_files/TA_Output_20220405_Run2_PutnamLab.csv",2312.11908557437,53.392,39.45,"Sample",57.9577223801295,2533.69716460858,2474.83118216522,2.14349675135509,2022-04-13 14:50:00,2022-04-13 16:37:00,-61.0094791947158,107,0,"timepoint4"
"94","20201106","10","14:58","16:28","6","6","12","Pocillopora","POC-45","POC-45","1",0.595,26.487,-56.7,36.79,"14:49","16:27","","data/4_calcification/raw_files/TA_Output_20220405_Run3_PutnamLab.csv",2281.92820343464,53.781,39.3,"Sample",51.5880799961631,2491.10495541615,2474.83118216522,2.14349675135509,2022-04-13 14:49:00,2022-04-13 16:27:00,-18.4172700022841,98,0,"timepoint4"
"95","20201106","10","14:58","16:28","10","10","10","Pocillopora","POC-47","POC-47","1",0.595,26.285,-59.8,36.74,"14:51","16:36","","data/4_calcification/raw_files/TA_Output_20220405_Run2_PutnamLab.csv",2375.5342994637,51.096,41.06,"Sample",82.0901533575913,2709.4288426661,2474.83118216522,2.14349675135509,2022-04-13 14:51:00,2022-04-13 16:36:00,-236.741157252233,105,0,"timepoint4"
"96","20201106","10","14:58","16:28","7","7","7","Porites","POR-72","POR-72","1",0.605,26.328,-54.8,36.66,"14:51","16:32","","data/4_calcification/raw_files/TA_Output_20220405_Run2_PutnamLab.csv",2243.16767843438,52.797,39.62,"Sample",18.991022785565,2468.73065054361,2474.83118216522,2.14349675135509,2022-04-13 14:51:00,2022-04-13 16:32:00,3.95703487024957,101,0.00063841217604142,"timepoint4"
"97","20201106","10","14:58","16:28","5","5","6","Porites","POR-73","POR-73","1",0.61,26.26,-55.4,36.64,"14:47","16:41","","data/4_calcification/raw_files/TA_Output_20220405_Run1_PutnamLab.csv",2264.46342466758,52.683,38.64,"Sample",14.5336103405221,2430.52407580987,2474.83118216522,2.14349675135509,2022-04-13 14:47:00,2022-04-13 16:41:00,42.1636096039952,114,0.00794026310143359,"timepoint4"
"98","20201106","10","14:58","16:28","1","1","1","Porites","POR-74","POR-74","1",0.595,26.09,-55.3,36.79,"14:48","16:46","","data/4_calcification/raw_files/TA_Output_20220405_Run1_PutnamLab.csv",2173.01455574647,52.571,38.24,"Sample",18.2154330201274,2308.22435032625,2474.83118216522,2.14349675135509,2022-04-13 14:48:00,2022-04-13 16:46:00,164.463335087614,118,0.0232868201783802,"timepoint4"
"100","20201107","11","10:58","12:28","10","10","10","Acropora","ACR-178","ACR-178","1",0.6,26.555,-57.6,36.64,"10:48","12:33","","data/4_calcification/raw_files/TA_Output_20220407_Run1_PutnamLab.csv",2333.2649562319,52.936,39.9,"Sample",38.461000345512,2586.03532649036,2518.5461336368,-112.111220379147,2022-04-13 10:48:00,2022-04-13 12:33:00,44.6220275255919,105,0.00339106655339929,"timepoint4"
"101","20201107","11","10:58","12:28","5","5","6","Acropora","ACR-180","ACR-180","1",0.605,26.564,-56.8,36.7,"10:50","12:38","","data/4_calcification/raw_files/TA_Output_20220407_Run1_PutnamLab.csv",2308.7651590978,54.219,37.99,"Sample",30.3975412324295,2436.38856650348,2518.5461336368,-112.111220379147,2022-04-13 10:50:00,2022-04-13 12:38:00,194.268787512464,108,0.0183122551395525,"timepoint4"
"102","20201107","11","10:58","12:28","1","1","1","Acropora","ACR-185","ACR-185","1",0.6,26.492,-56.2,36.74,"10:52","12:44","","data/4_calcification/raw_files/TA_Output_20220407_Run1_PutnamLab.csv",2403.81720128572,52.244,39.46,"Sample",36.4997388696931,2634.85074340929,2518.5461336368,-112.111220379147,2022-04-13 10:52:00,2022-04-13 12:44:00,-4.19338939334375,112,0,"timepoint4"
"103","20201107","11","10:58","12:28","2","2","2","Pocillopora","POC-52","POC-52","1",0.605,26.324,-59.3,36.72,"10:47","12:44","","data/4_calcification/raw_files/TA_Output_20220407_Run1_PutnamLab.csv",2328.66140541231,52.31,39.14,"Sample",83.3203991924231,2531.7724279955,2518.5461336368,-112.111220379147,2022-04-13 10:47:00,2022-04-13 12:44:00,98.8849260204529,117,0.00313901869268256,"timepoint4"
"104","20201107","11","10:58","12:28","9","9","9","Pocillopora","POC-53","POC-53","1",0.605,26.472,-59.6,36.84,"10:53","12:27","","data/4_calcification/raw_files/TA_Output_20220407_Run2_PutnamLab.csv",2292.89003454115,54.839,39.06,"Sample",63.3734785008565,2487.78568747715,2518.5461336368,-112.111220379147,2022-04-13 10:53:00,2022-04-13 12:27:00,142.8716665388,94,0.0074218423310496,"timepoint4"
"105","20201107","11","10:58","12:28","6","6","12","Pocillopora","POC-55","POC-55","1",0.595,26.668,-58.6,36.62,"10:50","12:27","","data/4_calcification/raw_files/TA_Output_20220407_Run1_PutnamLab.csv",2298.00034014112,54.821,37.83,"Sample",83.2089638812971,2414.81535743163,2518.5461336368,-112.111220379147,2022-04-13 10:50:00,2022-04-13 12:27:00,215.841996584321,97,0.00813873119638302,"timepoint4"
"106","20201107","11","10:58","12:28","3","3","3","Porites","POR-75","POR-75","1",0.605,26.374,-56.6,36.76,"10:47","12:38","","data/4_calcification/raw_files/TA_Output_20220407_Run1_PutnamLab.csv",2266.84128655308,51.645,39.16,"Sample",24.3978640814019,2465.81957726163,2518.5461336368,-112.111220379147,2022-04-13 10:47:00,2022-04-13 12:38:00,164.83777675432,111,0.0188357524779674,"timepoint4"
"107","20201107","11","10:58","12:28","8","8","8","Porites","POR-76","POR-76","1",0.57,26.738,-54.3,36.67,"10:53","12:33","","data/4_calcification/raw_files/TA_Output_20220407_Run2_PutnamLab.csv",2161.95405541996,54.583,37.01,"Sample",60.3156935635571,2222.60887753035,2518.5461336368,-112.111220379147,2022-04-13 10:53:00,2022-04-13 12:33:00,408.048476485595,100,0.0197243149390955,"timepoint4"
"108","20201107","11","10:58","12:28","11","4","4","Porites","POR-79","POR-79","1",0.61,26.445,-56.3,36.65,"10:54","12:45","","data/4_calcification/raw_files/TA_Output_20220407_Run2_PutnamLab.csv",2237.7568566796,54.288,37.35,"Sample",26.9742484746367,2321.67273880508,2518.5461336368,-112.111220379147,2022-04-13 10:54:00,2022-04-13 12:45:00,308.984615210863,111,0.0321988229738194,"timepoint4"
"110","20201107","12","15:32","17:02","7","7","7","Acropora","ACR-186","ACR-186","1",0.61,26.688,-58.8,36.73,"15:28","17:19","","data/4_calcification/raw_files/TA_Output_20220407_Run1_PutnamLab.csv",2287.20801728886,54.479,38.21,"Sample",47.2153583875762,2427.61717612798,2492.59540009349,10.8514196397823,2022-04-13 15:28:00,2022-04-13 17:19:00,54.126804325721,111,0.00322241589140261,"timepoint4"
"111","20201107","12","15:32","17:02","1","1","1","Acropora","ACR-187","ACR-187","1",0.6,26.278,-60.2,36.71,"15:26","17:06","","data/4_calcification/raw_files/TA_Output_20220407_Run2_PutnamLab.csv",2285.52314399082,54.9,37.42,"Sample",45.9940273776345,2375.67433467046,2492.59540009349,10.8514196397823,2022-04-13 15:26:00,2022-04-13 17:06:00,106.069645783245,100,0.00707760901727587,"timepoint4"
"112","20201107","12","15:32","17:02","10","10","10","Pocillopora","POC-57","POC-57","1",0.595,26.57,-60.1,36.68,"15:28","17:06","","data/4_calcification/raw_files/TA_Output_20220407_Run2_PutnamLab.csv",2401.55066586056,51.579,39.6,"Sample",109.106530186996,2641.70573244662,2492.59540009349,10.8514196397823,2022-04-13 15:28:00,2022-04-13 17:06:00,-159.961751992913,98,0,"timepoint4"
"113","20201107","12","15:32","17:02","3","3","3","Pocillopora","POC-68","POC-68","1",0.6,26.491,-57.4,36.69,"15:27","17:14","","data/4_calcification/raw_files/TA_Output_20220407_Run2_PutnamLab.csv",2298.86363687801,53.24,37.61,"Sample",54.89993744283,2401.67392730505,2492.59540009349,10.8514196397823,2022-04-13 15:27:00,2022-04-13 17:14:00,80.0700531486491,107,0.0041832264801316,"timepoint4"
"114","20201107","12","15:32","17:02","11","4","4","Pocillopora","POC-50","POC-50","1",0.605,26.325,-59.9,36.64,"15:26","17:19","","data/4_calcification/raw_files/TA_Output_20220406_Run4_PutnamLab.csv",2295.59408886771,53.408,39.7,"Sample",67.7640297592236,2531.53014800134,2492.59540009349,10.8514196397823,2022-04-13 15:26:00,2022-04-13 17:19:00,-49.7861675476329,113,0,"timepoint4"
"115","20201107","12","15:32","17:02","6","6","12","Pocillopora","POC-48","POC-48","1",0.6,26.56,-59.5,36.67,"15:28","17:01","","data/4_calcification/raw_files/TA_Output_20220407_Run1_PutnamLab.csv",2310.66864358647,53.033,38.9,"Sample",81.1006077947919,2496.80583987538,2492.59540009349,10.8514196397823,2022-04-13 15:28:00,2022-04-13 17:01:00,-15.0618594216771,93,0,"timepoint4"
"116","20201107","12","15:32","17:02","9","9","9","Porites","POR-81","POR-81","1",0.61,26.486,-58.4,36.62,"15:28","17:01","","data/4_calcification/raw_files/TA_Output_20220407_Run3_PutnamLab.csv",2546.20421209655,46.797,42.17,"Sample",12.0552890210782,2982.59532289199,2492.59540009349,10.8514196397823,2022-04-13 15:28:00,2022-04-13 17:01:00,-500.851342438284,93,0,"timepoint4"
"117","20201107","12","15:32","17:02","2","2","2","Porites","POR-82","POR-82","1",0.6,26.585,-55.8,36.75,"15:27","17:15","","data/4_calcification/raw_files/TA_Output_20220407_Run3_PutnamLab.csv",2204.67127586361,54.183,38.1,"Sample",33.7718024533269,2333.27710028899,2492.59540009349,10.8514196397823,2022-04-13 15:27:00,2022-04-13 17:15:00,148.466880164715,108,0.0124924746036617,"timepoint4"
"118","20201107","12","15:32","17:02","5","5","6","Porites","POR-83","POR-83","1",0.61,26.679,-57,36.65,"15:25","17:10","","data/4_calcification/raw_files/TA_Output_20220407_Run3_PutnamLab.csv",2158.60912595053,54.008,37.96,"Sample",48.9359195913626,2276.13340058561,2492.59540009349,10.8514196397823,2022-04-13 15:25:00,2022-04-13 17:10:00,205.610579868088,105,0.0124854407488412,"timepoint4"
