colony_id,partner,site,species,AFDW.mg.cm2,timepoint,DW.mg.cm2
POC-371,Host,site3,Pocillopora,1.4333224522847101,timepoint4,84.6154495969457
POC-371,Sym,site3,Pocillopora,0.4324679812928079,timepoint4,100.67678086953016
POC-372,Host,site3,Pocillopora,2.4587247806516115,timepoint4,69.20977997428794
POC-372,Sym,site3,Pocillopora,0.7752735794847464,timepoint4,80.65614060853765
POC-373,Host,site3,Pocillopora,2.166612842086076,timepoint4,112.52615934512309
POC-373,Sym,site3,Pocillopora,0.7000179203773973,timepoint4,133.77227701375745
POC-375,Host,site3,Pocillopora,3.43807255467903,timepoint4,186.8849122142946
POC-375,Sym,site3,Pocillopora,1.1278744806073657,timepoint4,224.52480608780542
POC-377,Host,site3,Pocillopora,1.4959869064993894,timepoint4,81.7097068609555
POC-377,Sym,site3,Pocillopora,0.3345383563846116,timepoint4,99.04908720956718
POC-378,Host,site3,Pocillopora,NA,timepoint4,NA
POC-378,Sym,site3,Pocillopora,NA,timepoint4,NA
POC-386,Host,site3,Pocillopora,2.584601238525132,timepoint4,123.10435347904229
POC-386,Sym,site3,Pocillopora,1.208351956987633,timepoint4,147.4698167296264
POC-391,Host,site3,Pocillopora,1.5021410324777396,timepoint4,91.60818296573196
POC-391,Sym,site3,Pocillopora,0.4857670005525155,timepoint4,109.3536251628384
POC-394,Host,site3,Pocillopora,1.7768557021807243,timepoint4,75.31893893132722
POC-394,Sym,site3,Pocillopora,0.562979454249976,timepoint4,88.42633455383744
POC-395,Host,site3,Pocillopora,2.4392046137743257,timepoint4,184.69778538212853
POC-395,Sym,site3,Pocillopora,1.1552133652191945,timepoint4,221.19495255344734
POC-40,Host,site1,Pocillopora,2.3087184882162335,timepoint4,148.66673414013772
POC-40,Sym,site1,Pocillopora,1.0284849648303571,timepoint4,180.85984859151483
POC-42,Host,site1,Pocillopora,2.8632327245570544,timepoint4,161.7461375233586
POC-43,Host,site1,Pocillopora,2.908340044391792,timepoint4,152.0485189587415
