"","colony_id","colony_id_corr","species","timepoint","month","site","nutrient","site_code","cre.umol.mgprot","Host_AFDW.mg.cm2","Sym_AFDW.mg.cm2","Host_DW.mg.cm2","Sym_DW.mg.cm2","chla.ug.cm2","chlc2.ug.cm2","prot_ug.cm2","surface.area.cm2","cells.cm2","Am","AQY","Rd","calc.umol.cm2.hr","code","mgprot","mgafdw","cells","cells.mgprot","cells.mgAFDW","chla.ug.mgprot","chla.ug.mgAFDW","chlc2.ug.mgprot","chlc2.ug.mgAFDW","prot_mg.cm2","prot_mg.mgafdw","cre.umol.mgafdw","cre.umol.cm2","chla.ug.cell","chlc2.ug.cell","calc.umol.mgprot.hr","calc.umol.mgAFDW.hr","Ratio_AFDW.mg.cm2","Total_Chl","Total_Chl_cell"
"21","ACR-193","ACR-193","Acropora","timepoint1","January 2020","Manava","High","Manava High",0.107085858043991,1.1007324043702,0.887687422879243,168.168683566871,213.418549948139,3.79634321184675,4.12463961040825,NA,27.0365439246127,543955.126353204,NA,NA,NA,0.00683361196674749,"ACR-193 - timepoint1",NA,29.7599999999996,14706666.6666667,NA,494175.627240151,NA,3.44892473118285,NA,3.74717741935489,NA,NA,NA,NA,6.97914777878513e-06,7.58268359020852e-06,NA,0.00620824093087132,0.446428571428584,7.19610215053774,1.45618313689937e-05
"22","ACR-225","ACR-225","Acropora","timepoint1","January 2020","Mahana","Low","Mahana Low",0.379641239403323,2.01885987972476,0.613842530997398,273.600983519808,343.415340711909,1.80748775115746,1.27505324397005,NA,21.992611000846,1000335.97644017,NA,NA,NA,0.00438179605817491,"ACR-225 - timepoint1",NA,44.4000000000013,2.2e+07,NA,495495.495495481,NA,0.895301238738712,NA,0.631570945945927,NA,NA,NA,NA,1.80688068181818e-06,1.274625e-06,NA,0.00217043099532608,0.233160621761659,1.52687218468464,3.08150568181818e-06
"23","ACR-225","ACR-225","Acropora","timepoint2","March 2020","Mahana","Low","Mahana Low",-0.0336914918952553,0.99245439012968,0.40508342454278,182.27235041581,233.155892081185,1.583808676058,1.03995042165734,361.755079416687,19.7490183880778,351072.30127037,NA,NA,NA,0,"ACR-225 - timepoint2",7.1443077153807,19.5999999999996,6933333.33333333,970469.583554867,353741.496598646,4.37812422319493,1.59585034013609,2.87473619813219,1.04785714285716,0.361755079416687,0.364505495682696,-0.0122807339535696,-0.0121880683262347,4.51134615384615e-06,2.96221153846154e-06,0,0,0.289855072463795,2.64370748299325,7.47355769230769e-06
"24","ACR-225","ACR-225","Acropora","timepoint3","September 2020","Mahana","Low","Mahana Low",0.514120076147007,0.883004214924169,0.948842248493132,95.410929117862,138.99570734048,1.27493415593441,0.584312547924072,349.619623177205,12.9104706493147,274970.610787798,0.612816603692443,0.000768426638844412,0.235973606237489,0.317719952215168,"ACR-225 - timepoint3",4.51375388345377,11.3999999999996,3550000,786485.061361756,311403.50877194,3.64663214366606,1.44385964912285,1.67128075539373,0.661732456140372,0.349619623177205,0.395943323109992,0.203562411427208,0.179746467290353,4.63661971830986e-06,2.125e-06,0.908758922991376,0.359817027875063,0.517970401691346,2.10559210526323,6.76161971830986e-06
"25","ACR-225","ACR-225","Acropora","timepoint4","November 2020","Mahana","Low","Mahana Low",0.373450712037183,1.11471506070732,0.734356205533532,95.642552208687,184.823522994531,1.85298783267035,1.1328291804438,306.5033841226,33.1923388354714,248237.503665394,0.958579573520254,0.00172655969399964,0.323668129905318,0.00448907394184678,"ACR-225 - timepoint4",10.173564180016,37.0000000000004,8239583.33333333,809901.347014494,222691.441441439,6.04557055046794,1.66229729729728,3.69597609398882,1.01624999999999,0.3065033841226,0.274961194054483,0.102684453702241,0.114463907042391,7.46457648546144e-06,4.56348925410872e-06,0.0146460827983915,0.00402710441446654,0.397148676171077,2.67854729729727,1.20280657395702e-05
"26","ACR-228","ACR-228","Acropora","timepoint1","January 2020","Mahana","Low","Mahana Low",0.0570670155001735,0.58302676810417,0.728783460130203,273.671203269252,353.017502490928,2.69953347223373,4.41973621393821,NA,23.0521148174774,311674.74054548,NA,NA,NA,0,"ACR-228 - timepoint1",NA,13.4400000000001,7184761.9047619,NA,534580.498866208,NA,4.63020502645498,NA,7.58067460317453,NA,NA,NA,NA,8.66138034641216e-06,1.41806044538706e-05,NA,0,0.555555555555552,12.2108796296295,2.28419848002828e-05
"27","ACR-234","ACR-234","Acropora","timepoint1","January 2020","Mahana","Low","Mahana Low",0.107163132737008,0.668959991029945,1.30075553811381,247.711858530301,312.986558766149,2.9382037326183,3.35986187840464,NA,25.8311412217566,624913.24264939,NA,NA,NA,0.0220165513798032,"ACR-234 - timepoint1",NA,17.2799999999995,16142222.2222222,NA,934156.378600849,NA,4.39219650205774,NA,5.02251543209891,NA,NA,NA,NA,4.70177863436123e-06,5.37652533039648e-06,NA,0.0329116115687368,0.660377358490571,9.41471193415664,1.00783039647577e-05
"28","ACR-234","ACR-234","Acropora","timepoint4","November 2020","Mahana","Low","Mahana Low",0.367391205714367,0.898298502960735,0.622462277866796,57.0235116112562,110.757601651284,1.26053086487023,0.562266514054293,325.839610390036,36.8697041026317,187687.972236969,0.885795824519864,0.0022399698731175,0.325491306757178,0.00631366140005055,"ACR-234 - timepoint4",12.0136100199974,33.1199999999994,6920000,576013.370542345,208937.198067637,3.86856239903233,1.40324275362322,1.72559288719149,0.62592391304349,0.325839610390036,0.362729771135195,0.133263727965856,0.119710607330695,6.71609826589595e-06,2.99575144508671e-06,0.0193765926508843,0.00702846701763514,0.409309791332256,2.02916666666671,9.71184971098266e-06
"29","ACR-237","ACR-237","Acropora","timepoint1","January 2020","Mahana","Low","Mahana Low",0.0834386331213838,0.980726760800804,1.03521158084538,202.949795512163,257.771236988322,2.09954075760281,0.737097887971913,NA,21.106796334482,1024920.00372584,NA,NA,NA,0.00328625938467334,"ACR-237 - timepoint1",NA,20.6999999999988,21632777.7777778,NA,1045061.72839512,NA,2.14080092592605,NA,0.751583333333376,NA,NA,NA,NA,2.04849232132309e-06,7.19176018901358e-07,NA,0.00335084094369972,0.513513513513534,2.89238425925942,2.76766834022445e-06
"30","ACR-237","ACR-237","Acropora","timepoint2","March 2020","Mahana","Low","Mahana Low",-0.0270444577233792,1.03590616354362,1.12350117001976,123.587667687869,162.347823307127,3.06220082458455,0.529321390221007,420.302341108332,19.6929033902215,966718.80335599,NA,NA,NA,0,"ACR-237 - timepoint2",8.27697339813029,20.3999999999995,19037500,2300055.71895404,933210.784313747,7.28570965488692,2.95606004901968,1.25938244556334,0.510974264705895,0.420302341108332,0.405733990104435,-0.0109728557423174,-0.0113668488951416,3.1676231122784e-06,5.47544320420224e-07,0,0,0.520282186948859,3.46703431372557,3.71516743269862e-06
"31","ACR-237","ACR-237","Acropora","timepoint3","September 2020","Mahana","Low","Mahana Low",0.211508990259296,0.974972047922277,1.33720124628231,109.269089518994,146.940926148435,1.56299077992671,0.489669555110135,471.436136860805,22.1544812961876,200862.296909915,0.860248028268382,0.00158518883073049,0.380309035841012,0.610921548054574,"ACR-237 - timepoint3",10.4444230764297,21.5999999999998,4450000,426064.701461825,206018.51851852,3.31538178285258,1.60311342592594,1.0386763271283,0.502239583333337,0.471436136860805,0.483538105390266,0.102272656422988,0.0997129812791721,7.78140449438202e-06,2.43783707865169e-06,1.29587339681377,0.62660416712098,0.578330893118598,2.10535300925927,1.02192415730337e-05
"32","ACR-237","ACR-237","Acropora","timepoint4","November 2020","Mahana","Low","Mahana Low",0.279601738018897,1.59008841671972,0.889194180402514,95.0659001656968,178.003889117904,1.96345698486206,0.610876401936504,475.681375901113,43.0164758643458,226947.926436058,1.19061820347642,0.00365828803455153,0.571610868441986,0.0136774812512229,"ACR-237 - timepoint4",20.462136425569,68.3999999999996,9762500,477100.71895528,142726.608187135,4.1276726067792,1.23480994152048,1.28421341024606,0.38417763157895,0.475681375901113,0.29915404130949,0.0836439898855104,0.133001339445171,8.65157490396927e-06,2.69170294494238e-06,0.0287534512473035,0.00860171114222625,0.358649789029546,1.61898757309943,1.13432778489117e-05
"33","ACR-243","ACR-243","Acropora","timepoint1","January 2020","Mahana","Low","Mahana Low",0.14399719983761,1.22671624886527,1.5333953110816,351.038484793349,435.261074140791,3.4876555753378,3.49871116622264,NA,22.0099799158727,626846.323928275,NA,NA,NA,0.00572276428124929,"ACR-243 - timepoint1",NA,26.9999999999992,13796875,NA,510995.370370385,NA,2.84308256172847,NA,2.85209490740749,NA,NA,NA,NA,5.5638127595319e-06,5.58144960362401e-06,NA,0.00466510840346571,0.555555555555559,5.69517746913596,1.11452623631559e-05
"34","ACR-244","ACR-244","Acropora","timepoint1","January 2020","Mahana","Low","Mahana Low",0.145208032346915,1.39281593917236,1.320773735422,482.798332828803,600.884510050999,4.66009664360856,6.14239833864291,NA,13.3255224025003,906245.182096921,NA,NA,NA,0.0141947918777491,"ACR-244 - timepoint1",NA,18.5600000000008,12076190.4761905,NA,650656.81444989,NA,3.34580938697304,NA,4.41005747126418,NA,NA,NA,NA,5.14220294426919e-06,6.7778548895899e-06,NA,0.0101914341145348,0.486725663716801,7.75586685823721,1.19200578338591e-05
"35","ACR-244","ACR-244","Acropora","timepoint2","March 2020","Mahana","Low","Mahana Low",0.0612334641870932,0.683104180801823,0.731897336573413,50.671692268764,71.4514774829768,2.47934627701908,0.324057711008652,385.795114025598,24.5936132030113,682087.656723252,NA,NA,NA,0.279723038202327,"ACR-244 - timepoint2",9.4880958099572,16.7999999999999,16775000,1768004.91226023,998511.904761909,6.42658806937242,3.62952876984129,0.839973600565481,0.474389880952383,0.385795114025598,0.56476760773555,0.0345826770823051,0.023623571298242,3.63493790362643e-06,4.75096870342772e-07,0.725055937809951,0.409488107471382,0.517241379310355,4.10391865079367,4.1100347739692e-06
"36","ACR-244","ACR-244","Acropora","timepoint3","September 2020","Mahana","Low","Mahana Low",0.265901994600353,0.69168534252421,0.888294532351288,53.2492434391662,79.3174637835224,1.64469904051478,1.47325424779528,349.678834866195,18.9970774168024,168710.161551758,0.841619892828844,0.00124736194227721,0.389022802635414,0.581726286158262,"ACR-244 - timepoint3",6.64287589697039,13.1399999999999,3205000,482471.756165383,243911.719939118,4.70345607604225,2.37781392694065,4.21316391184791,2.129948630137,0.349678834866195,0.50554611088055,0.13442571924559,0.0929802996604489,9.74866614664587e-06,8.73245709828393e-06,1.66360164858379,0.841027343496007,0.56221889055472,4.50776255707765,1.84811232449298e-05
"37","ACR-244","ACR-244","Acropora","timepoint4","November 2020","Mahana","Low","Mahana Low",0.234774440727133,1.22669511986484,0.550716999235098,69.9734540204589,89.2038128789034,1.45727996749882,1.05659915570893,408.168336388067,32.4122916575889,161495.660342143,0.989405160014737,0.00298209240314531,0.575785109805159,0.00668111113189006,"ACR-244 - timepoint4",13.2296711644029,39.7600000000002,5234444.44444444,395659.452105565,131651.017214397,3.57029156253146,1.18797241784037,2.5886357698858,0.861338028169009,0.408168336388067,0.332738208360232,0.0781184267763216,0.0958274928980327,9.02364784546805e-06,6.54258543833581e-06,0.0163685189081839,0.00544643165501969,0.309842041312273,2.04931044600938,1.55662332838039e-05
"38","ACR-256","ACR-256","Acropora","timepoint1","January 2020","Mahana","Low","Mahana Low",0.173008572719877,1.30061573148005,1.22521771806093,183.707259695716,230.829133132338,3.26757187849796,2.98852592522301,NA,26.5258978228264,1016825.98652747,NA,NA,NA,0,"ACR-256 - timepoint1",NA,34.5000000000004,26972222.2222222,NA,781803.542673099,NA,2.51232689210947,NA,2.29777777777775,NA,NA,NA,NA,3.21350154479918e-06,2.93907312049434e-06,NA,0,0.485074626865674,4.81010466988722,6.15257466529351e-06
"39","ACR-256","ACR-256","Acropora","timepoint4","November 2020","Mahana","Low","Mahana Low",0.303491857488238,1.29579114410051,0.544821276496766,81.7432173376583,151.289309701492,1.0673294221562,0.545218848779664,345.465093229394,63.6676677222293,196086.576540971,0.441373490428532,0.00106784394253394,0.187592921056338,0.00246494960359919,"ACR-256 - timepoint4",21.994956765358,82.4999999999987,12484375,567601.706754106,151325.75757576,3.08954346784749,0.823689393939407,1.57821690082485,0.42076136363637,0.345465093229395,0.266605536549799,0.0809126095041466,0.104845842841536,5.44315394242804e-06,2.78050062578223e-06,0.00713516257332091,0.00190227384623026,0.295999999999984,1.24445075757578,8.22365456821027e-06
"40","ACR-343","ACR-343","Acropora","timepoint1","January 2020","Hilton","Medium","Hilton Medium",0.115848259320189,1.10615355989388,0.910553235278478,281.66446744615,351.331907203126,1.49705631207854,0.597525267506093,NA,29.6523025276405,826242.750530494,NA,NA,NA,0.00191493437922809,"ACR-343 - timepoint1",NA,32.7999999999999,24500000,NA,746951.219512196,NA,1.35338922764228,NA,0.540182926829269,NA,NA,NA,NA,1.8118843537415e-06,7.23183673469388e-07,NA,0.00173116504675155,0.451505016722402,1.89357215447155,2.53506802721088e-06
"41","ACR-343","ACR-343","Acropora","timepoint2","March 2020","Hilton","Medium","Hilton Medium",-0.0828818449337399,1.01297880504342,0.590904302942033,89.3778826384529,124.567231509292,1.98777393679681,0.443009397405674,345.238058920361,16.2885935202682,706834.099519216,NA,NA,NA,0,"ACR-343 - timepoint2",5.62344240948018,16.4999999999993,11513333.3333333,2047381.74501863,697777.777777808,5.7576906295124,1.96230555555564,1.28319976885244,0.437333333333352,0.345238058920361,0.340814691483662,-0.0282473504106893,-0.0286139672646627,2.81222133757962e-06,6.26751592356688e-07,0,0,0.368421052631594,2.39963888888899,3.4389729299363e-06
"42","ACR-343","ACR-343","Acropora","timepoint3","September 2020","Hilton","Medium","Hilton Medium",0.252839658322968,0.944750168511715,0.898177977106249,115.402088491304,149.008676854807,1.69247779014414,0.774295947967565,367.698056677679,26.3032501377021,308263.552636454,0.599577695935748,0.00277132574855228,0.330156462969959,0,"ACR-343 - timepoint3",9.67165395993995,24.8499999999998,8108333.33333333,838360.570686058,326291.079812209,4.60290110161707,1.79145539906105,2.10579287517504,0.819577464788739,0.367698056677679,0.389201366597184,0.0984055405492643,0.0929686510164039,5.49035971223021e-06,2.51179856115108e-06,0,0,0.48736462093864,2.61103286384978,8.00215827338129e-06
